,agency,local_area,4 Year Cohort Graduation Rate* ,Dropout Rate *,Assessment: ELA Participation,Assessment: Math Participation Rate,Assessment: ELA Achievement Rate,Assessment: Math Achievement Rate,Discipline (>10 days) Rate *,Discipline (>10 days) Areas Disproportionate *,LRE Rate: In Regular Class more than 80%,LRE Rate: In Regular Class less than 40%,LRE Rate: Separate Schools,Preschool LRE: Regular Program,Preschool LRE: Separate Class,Positive Socio-Emotional Skills Substantially Increased,Positive Socio-Emotional Skills Functioning within age expectations,Acquisition of Knowledge/Skills Substantially Increased,Acquisition of Knowledge/Skills Functioning within age expectations,Use of Appropriate Behaviors Substantially Increased,Use of Appropriate Behaviors Functioning within age expectations,Parent Involvement Rate,Overall Disproportionality Areas,Disproportionality by Disability Areas,Rate of Eligibility Determined within 60 days,Rate of Part C to Part B Students with Timely IEPs ,Rate of Students with Transition Goals/Services,Rate of Post School Outcomes: Higher Education,Competitive Employment or Higher Education,Any Employment or Education
0,ABC Unified,ABC Unified,78.24%,0.00%,96.48%,96.18%,24.33%,18.69%,0.16,0,53.20%,18.77%,1.75%,59.47%,38.42%,66.67%,71.43%,65.22%,60.42%,76.19%,68.75%,99.81%,0,1,100.00%,88.89%,99.84%,NC,NC,NC
1,ACE Charter High,El Dorado County Charter,NC,3.45%,95.00%,85.00%,31.58%,17.65%,0.00,0,98.67%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,96.67%,0,1,NC,NC,90.74%,NC,NC,NC
2,ACE Empower Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,8.62%,0.00%,NC,0,96.72%,1.64%,1.64%,NC,NC,NC,NC,NC,NC,NC,NC,98.63%,0,1,NC,NC,NC,NC,NC,NC
3,ACE Esperanza Middle,El Dorado County Charter,NC,NC,100.00%,98.04%,7.84%,2.00%,0.00,0,93.88%,6.12%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,NC,NC,NC,NC
4,ACE Inspire Academy,El Dorado County Charter,NC,NC,100.00%,100.00%,5.77%,1.92%,0.00,0,96.15%,3.85%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,NC,NC,NC,NC,NC,NC
5,APEX Academy,Los Angeles Unified,NC,NC,94.59%,94.59%,5.71%,0.00%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
6,ARISE High,El Dorado County Charter,NC,NC,66.67%,83.33%,NC,NC,0.00,0,94.44%,5.56%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,87.50%,NC,NC,NC
7,ASA Charter,San Bernardino City Unified,NC,NC,100.00%,100.00%,NC,NC,0.00,0,95.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
8,ASCEND,El Dorado County Charter,NC,NC,97.56%,97.56%,10.00%,5.00%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
9,Academia Avance Charter,Los Angeles County Charter,NC,NC,100.00%,100.00%,21.74%,17.39%,0.00,0,97.67%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
10,Academia Moderna,Los Angeles Unified,NC,NC,100.00%,100.00%,4.17%,4.17%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
11,Academies of the Antelope Valley,Antelope Valley,NC,NC,97.22%,97.22%,17.14%,14.29%,NC,NC,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
12,Academy for Academic Excellence,Desert Mountain,NC,NC,94.87%,93.59%,22.97%,17.81%,NC,NC,78.57%,12.50%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,98.53%,0,0,NC,NC,NC,NC,NC,NC
13,Academy of Careers and Exploration,Desert Mountain,NC,NC,100.00%,100.00%,NC,NC,0.00,0,93.18%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,100.00%,NC,NC,NC
14,Acalanes Union High,Contra Costa,85.16%,0.00%,90.21%,87.41%,55.04%,20.80%,0.00,0,71.78%,2.97%,5.61%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,1,100.00%,NC,99.79%,85.71%,94.96%,100.00%
15,Accelerated,Los Angeles Unified,NC,NC,98.28%,98.28%,15.79%,8.77%,0.00,0,92.31%,1.54%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
16,Accelerated Achievement Academy,Mendocino County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,90.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
17,Accelerated Charter Elementary,Los Angeles Unified,NC,NC,96.88%,96.88%,12.90%,16.13%,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,NC,NC,NC,NC,NC,NC,NC,NC
18,Accelerated Charter High,Tulare County,NC,NC,100.00%,100.00%,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
19,Achieve Academy,El Dorado County Charter,NC,NC,100.00%,96.97%,3.03%,3.13%,0.00,0,90.91%,1.82%,3.64%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
20,Achieve Charter High,El Dorado County Charter,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,0,0,NC,NC,NC,NC,NC,NC
21,Achieve Charter School of Paradise Inc.,El Dorado County Charter,NC,NC,100.00%,100.00%,NC,NC,0.00,0,100.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
22,Acton-Agua Dulce Unified,Antelope Valley,NC,0.00%,87.61%,89.38%,20.20%,13.86%,0.66,0,56.82%,24.43%,0.57%,76.00%,8.00%,NC,NC,NC,NC,NC,NC,99.22%,0,0,100.00%,NC,97.96%,NC,NC,NC
23,Adelante Charter,Santa Barbara County,NC,NC,94.12%,100.00%,NC,NC,0.00,0,92.00%,0.00%,0.00%,NC,NC,NC,NC,NC,NC,NC,NC,100.00%,0,0,NC,NC,NC,NC,NC,NC
