,name,students,eighty,eighty-target,forty,forty-target,SuspExplFg,SuspExplRaceEthnicityFg,DisPrptnRprsntnFg,DisPrptnRprsntnDsbltyFg,four-year-grad,dropout,STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,_merge
0,Adel SD 21,,,73.0,,10.6,No ,No ,No ,No ,,,41.0,990.0,4100990.0,Adel SD 21,0.0,KG,12.0,G5420,,E,1410122925.0,6892209.0,42.1230789,-119.7166502,both
1,Adrian SD 61,42.0,97.62,73.0,2.38,10.6,No ,No ,No ,No ,,0.0,41.0,1020.0,4101020.0,Adrian SD 61,0.0,KG,12.0,G5420,,E,748964238.0,13893165.0,43.6332381,-117.1412385,both
2,Alsea SD 7J,37.0,70.27,73.0,8.11,10.6,No ,No ,No ,No ,,0.0,41.0,1200.0,4101200.0,Alsea SD 7J,0.0,KG,12.0,G5420,,E,430327311.0,820590.0,44.3649961,-123.6231522,both
3,Amity SD 4J,127.0,79.53,73.0,3.15,10.6,No ,No ,No ,No ,72.22,3.7,41.0,1230.0,4101230.0,Amity SD 4J,0.0,KG,12.0,G5420,,E,197895517.0,646710.0,45.0930097,-123.1905627,both
4,Annex SD 29,7.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,,41.0,1350.0,4101350.0,Annex SD 29,0.0,KG,12.0,G5420,,E,430093858.0,5698756.0,44.2073251,-117.2079015,both
5,Arlington SD 3,21.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,0.0,41.0,1470.0,4101470.0,Arlington SD 3,0.0,KG,12.0,G5420,,E,921194728.0,43094992.0,45.6303392,-120.2190308,both
6,Arock SD 81,,,73.0,,10.6,No ,No ,No ,No ,,,41.0,1500.0,4101500.0,Arock SD 81,0.0,KG,12.0,G5420,,E,4554225280.0,5333103.0,43.0501681,-117.8428014,both
7,Ashland SD 5,329.0,76.6,73.0,7.6,10.6,No ,No ,No ,No ,77.14,3.23,41.0,1560.0,4101560.0,Ashland SD 5,0.0,KG,12.0,G5420,,E,947263423.0,12197089.0,42.1900163,-122.5645355,both
8,Ashwood SD 8,,,73.0,,10.6,No ,No ,No ,No ,,,41.0,1590.0,4101590.0,Ashwood SD 8,0.0,KG,12.0,G5420,,E,1110402083.0,319758.0,44.6613371,-120.6140461,both
9,Astoria SD 1,240.0,70.83,73.0,10.42,10.6,No ,No ,No ,No ,50.0,2.27,41.0,1620.0,4101620.0,Astoria SD 1,0.0,KG,12.0,G5420,,E,587772137.0,130616324.0,46.1068247,-123.7510373,both
10,Athena-Weston SD 29J,81.0,90.12,73.0,1.23,10.6,No ,No ,No ,No ,75.0,3.57,41.0,1660.0,4101660.0,Athena-Weston SD 29J,0.0,KG,12.0,G5420,,E,842122328.0,187897.0,45.745319,-118.3598234,both
11,Baker SD 5J,448.0,93.97,73.0,1.56,10.6,No ,No ,No ,No ,47.37,2.82,41.0,1710.0,4101710.0,Baker SD 5J,0.0,KG,12.0,G5420,,E,3386810946.0,11256329.0,44.7823978,-117.7502692,both
12,Bandon SD 54,93.0,56.99,73.0,9.68,10.6,No ,No ,No ,No ,66.67,3.03,41.0,1800.0,4101800.0,Bandon SD 54,0.0,KG,12.0,G5420,,E,275154980.0,174510352.0,43.1316531,-124.3899914,both
13,Banks SD 13,148.0,82.43,73.0,6.76,10.6,No ,No ,No ,No ,92.86,0.0,41.0,1830.0,4101830.0,Banks SD 13,0.0,KG,12.0,G5420,,E,345021720.0,120288.0,45.6866806,-123.1934306,both
14,Beaverton SD 48J,4842.0,79.1,73.0,13.71,10.6,No ,No ,No ,No ,64.27,3.06,41.0,1920.0,4101920.0,Beaverton SD 48J,0.0,KG,12.0,G5420,,E,148315975.0,29221.0,45.4957301,-122.8255214,both
15,Bend-LaPine Administrative SD 1,1821.0,79.46,73.0,8.79,10.6,No ,No ,No ,No ,66.82,4.5,,,,,,,,,,,,,,,left_only
