Iid,Name,Directory_Name,Type,Class,Effective_Date,EndDt,GeoAreatype,County,Mail_StrAddr1,Mail_StrAddr2,Mail_City,Mail_State,Mail_Zip,Mail_Zip4,Street_StrAddr1,Street_StrAddr2,Street_City,Street_State,Street_Zip,Street_Zip4,Voice_Phone,Fax_Phone,TollFree_phone,Director_Name
2280,Umatilla/Morrow ESD EI/ECSE-Baker,Umatilla/Morrow ESD EI/ECSE-Baker,EI/ECSE,SECC,9/24/1999,6/30/2006,County,Baker,2001 SW Nye Ave,,Pendleton,OR,97801,4416,2001 SW Nye Ave,,Pendleton,OR,97801,4416,541-276-6992,,,
2285,NW Regional ESD EI/ECSE-Clatsop,NW Regional ESD EI/ECSE-Clatsop,EI/ECSE,SECC,9/24/1999,6/30/2006,County,Clatsop,Clatsop Service Center,3194 Marine Dr,Astoria,OR,97103,2798,Clatsop Service Center,3194 Marine Dr,Astoria,OR,97103,2798,503-338-3344,,,
2287,South Coast ESD EI/ECSE - Coos/Curry,South Coast ESD EI/ECSE-Coos/Curry,EI/ECSE,SECC,9/24/1999,,County,Coos,1350 Teakwood Ave,,Coos Bay,OR,97420,2593,1350 Teakwood Ave,,Coos Bay,OR,97420,2593,541-266-3918,,,
2289,High Desert ESD EI/ECSE-Crook Larson Learning Center,High Desert ESD EI/ECSE-Crook Larson Learning Center,EI/ECSE,SECC,9/24/1999,6/30/2006,County,Crook,PO Box 11,,Prineville,OR,97754,11,,,,,,,541-693-5631,,,
2291,Bend-La Pine Admin SD EI/ECSE,Bend-La Pine Admin SD EI/ECSE,EI/ECSE,SECC,9/24/1999,6/30/2003,County,Deschutes,,,,,,,,,,,,,,,,
2292,Deschutes EI/ECSE,Deschutes EI/ECSE,EI/ECSE,SECC,9/24/1999,10/27/2005,County,Deschutes,520 NW Wall St,,Bend,OR,97701,2699,520 NW Wall St,,Bend,OR,97701,2699,541-389-5437,,,
2296,North Central ESD EI/ECSE - Gilliam,North Central ESD EI/ECSE - Gilliam,EI/ECSE,SECC,9/24/1999,,County,Gilliam,PO Box 232,,Wasco,OR,97065,232,,,,,,,541-565-3600,,,
2297,Umatilla/Morrow ESD EI/ECSE-Grant,Umatilla/Morrow ESD EI/ECSE-Grant,EI/ECSE,SECC,9/24/1999,6/30/2006,County,Grant,2001 SW Nye Ave,,Pendleton,OR,97801,4416,2001 SW Nye Ave,,Pendleton,OR,97801,4416,541-276-6992,,,
2298,Harney ESD EI/ECSE,Harney ESD EI/ECSE,EI/ECSE,SECC,9/24/1999,,County,Harney,,,,,,,450 N Buena Vista Ave,,Burns,OR,97720,,541-573-6461,,,
2299,Hood River County SD - EI/ECSE,Hood River County SD - EI/ECSE,EI/ECSE,SECC,9/24/1999,,County,Hood River,1011 Eugene St,,Hood River,OR,97031,1415,2405 Eastside Rd,,Hood River,OR,97031,9406,541-386-4919,,,
2305,Asante Child Development Services EI/ECSE - Jackson,Asante Child Development Services EI/ECSE - Jackson,EI/ECSE,SECC,9/24/1999,6/30/2009,County,Jackson,945 S Riverside,,Medford,OR,97501,7850,945 S Riverside,,Medford,OR,97501,7850,541-789-5252,,,
2306,High Desert ESD EI/ECSE-Jefferson Juniper Junction,High Desert ESD EI/ECSE-Jefferson Juniper Junction,EI/ECSE,SECC,9/24/1999,6/30/2006,County,Jefferson,650 NE A Ste B,,Madras,OR,97741,1800,,,,,,,541-475-3770,,,
2307,High Desert ESD EI/ECSE-Warm Springs Early Childhood Center,High Desert ESD EI/ECSE-Warm Springs Early Childhood Center,EI/ECSE,SECC,9/24/1999,,County,Jefferson,PO Box C,,Warm Springs,OR,97761,31,,,,,,,541-553-3241,,,
2309,EC Intervention Klamath Falls City SD EI/ECSE - Klamath,EC Intervention Klamath Falls City SD EI/ECSE - Klamath,EI/ECSE,SECC,9/24/1999,,County,Klamath,2858 Eberlein St,,Klamath Falls,OR,97603,3795,2858 Eberlein St,,Klamath Falls,OR,97603,3795,541-883-4748,,,
2312,Lake ESD EI/ECSE,Lake ESD EI/ECSE,EI/ECSE,SECC,9/24/1999,,County,Lake,357 N  L  St,,Lakeview,OR,97630,1232,,,,,,,541-947-3371,,,
2313,Lane ESD EI/ECSE,Lane ESD EI/ECSE,EI/ECSE,SECC,9/24/1999,6/30/2003,County,Lane,,,,,,,,,,,,,,,,
2319,EC Cares EI/ECSE - Lane,EC Cares EI/ECSE - Lane,EI/ECSE,SECC,9/24/1999,,County,Lane,1500 W 12th Ave,,Eugene,OR,97402,3705,1500 W 12th Ave,,Eugene,OR,97402,3705,541-346-2578,,,
2320,Lincoln County SD EI/ECSE,Lincoln County SD EI/ECSE,EI/ECSE,SECC,9/24/1999,6/30/2003,County,Lincoln,,,,,,,,,,,,,,,,
2321,Linn/Benton/Lincoln ESD-Linn EI/ECSE,Linn/Benton/Lincoln ESD-Linn EI/ECSE,EI/ECSE,SECC,9/24/1999,6/30/2003,County,Linn,111 N 20th,,Philomath,OR,97370,9535,111 N 20th,,Philomath,OR,97370,9535,541-929-9100,,,
2324,Malheur ESD EI/ECSE,Malheur ESD EI/ECSE,EI/ECSE,SECC,9/24/1999,,County,Malheur,c/o Malheur ESD,363  A  St W,Vale,OR,97918,1305,,,,,,,541-473-2362,,,
2341,Umatilla/Morrow ESD EI/ECSE-Morrow,Umatilla/Morrow ESD EI/ECSE-Morrow,EI/ECSE,SECC,9/24/1999,6/30/2006,County,Morrow,2001 SW Nye Ave,,Pendleton,OR,97801,4416,2001 SW Nye Ave,,Pendleton,OR,97801,4416,541-276-6992,,,
2343,Portland Public SD EI/ECSE-PEIP Program,Portland Public SD EI/ECSE-PEIP Program,EI/ECSE,SECC,9/24/1999,6/30/2003,County,Multnomah,,,,,,,,,,,,,,,,
2344,CDRC EI/ECSE,CDRC EI/ECSE,EI/ECSE,SECC,9/24/1999,6/30/2003,County,Multnomah,PO Box 574,,Portland,OR,97207,574,,,,,,,503-494-8213,,,
2346,Portland Public SD EI/ECSE-Contract Program,Portland Public SD EI/ECSE-Contract Program,EI/ECSE,SECC,9/24/1999,8/2/2002,County,Multnomah,531 SE 14th Ave,,Portland,OR,97214,2427,531 SE 14th Ave,,Portland,OR,97214,2427,503-916-5840 x460,,,
