Iid,Name,Directory_Name,Type,Class,Effective_Date,EndDt,GeoAreatype,County,Mail_StrAddr1,Mail_StrAddr2,Mail_City,Mail_State,Mail_Zip,Mail_Zip4,Street_StrAddr1,Street_StrAddr2,Street_City,Street_State,Street_Zip,Street_Zip4,Voice_Phone,Fax_Phone,TollFree_phone,Director_Name,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Unified School District Name","Unified School District LEA code","Unified School District Grade Low","Unified School District Grade High","Elementary School District Name","Elementary School District LEA code","Elementary School District Grade Low","Elementary School District Grade High","Secondary School District Name","Secondary School District LEA code","Secondary School District Grade Low","Secondary School District Grade High"
2280,"Umatilla/Morrow ESD EI/ECSE-Baker","Umatilla/Morrow ESD EI/ECSE-Baker",EI/ECSE,SECC,9/24/1999,6/30/2006,County,Baker,"2001 SW Nye Ave",,Pendleton,OR,97801,4416,"2001 SW Nye Ave",,Pendleton,OR,97801,4416,541-276-6992,,,,45.653733,-118.804698,1,range_interpolation,2001,"SW Nye Ave",,,Pendleton,OR,"Umatilla County",97801,US,"TIGER/Line® dataset from the US Census Bureau","Pendleton School District 16",4109510,KG,12,"See unified",,,,"See unified",,,
2285,"NW Regional ESD EI/ECSE-Clatsop","NW Regional ESD EI/ECSE-Clatsop",EI/ECSE,SECC,9/24/1999,6/30/2006,County,Clatsop,"Clatsop Service Center","3194 Marine Dr",Astoria,OR,97103,2798,"Clatsop Service Center","3194 Marine Dr",Astoria,OR,97103,2798,503-338-3344,,,,45.793504,-123.965315,1,street_center,,"Clatsop Ln",,,"Arch Cape",OR,"Clatsop County",97102,US,"TIGER/Line® dataset from the US Census Bureau","Seaside School District 10",4111100,KG,12,"See unified",,,,"See unified",,,
2287,"South Coast ESD EI/ECSE - Coos/Curry","South Coast ESD EI/ECSE-Coos/Curry",EI/ECSE,SECC,9/24/1999,,County,Coos,"1350 Teakwood Ave",,"Coos Bay",OR,97420,2593,"1350 Teakwood Ave",,"Coos Bay",OR,97420,2593,541-266-3918,,,,43.38459,-124.228368,1,range_interpolation,1350,"Teakwood Ave",,,"Coos Bay",OR,"Coos County",97420,US,"TIGER/Line® dataset from the US Census Bureau","Coos Bay School District 9",4103660,KG,12,"See unified",,,,"See unified",,,
2289,"High Desert ESD EI/ECSE-Crook Larson Learning Center","High Desert ESD EI/ECSE-Crook Larson Learning Center",EI/ECSE,SECC,9/24/1999,6/30/2006,County,Crook,"PO Box 11",,Prineville,OR,97754,11,,,,,,,541-693-5631,,,,44.16805,-120.660334,0.33,place,11,"PO Box",,,Prineville,OR,"Crook County",97754,US,"TIGER/Line® dataset from the US Census Bureau","Crook County School District",4103720,KG,12,"See unified",,,,"See unified",,,
2291,"Bend-La Pine Admin SD EI/ECSE","Bend-La Pine Admin SD EI/ECSE",EI/ECSE,SECC,9/24/1999,6/30/2003,County,Deschutes,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2292,"Deschutes EI/ECSE","Deschutes EI/ECSE",EI/ECSE,SECC,9/24/1999,10/27/2005,County,Deschutes,"520 NW Wall St",,Bend,OR,97701,2699,"520 NW Wall St",,Bend,OR,97701,2699,541-389-5437,,,,44.055977,-121.317284,1,range_interpolation,520,"NW Wall St",,,Bend,OR,"Deschutes County",97703,US,"TIGER/Line® dataset from the US Census Bureau","Bend-La Pine Administrative School District 1",4101980,KG,12,"See unified",,,,"See unified",,,
2296,"North Central ESD EI/ECSE - Gilliam","North Central ESD EI/ECSE - Gilliam",EI/ECSE,SECC,9/24/1999,,County,Gilliam,"PO Box 232",,Wasco,OR,97065,232,,,,,,,541-565-3600,,,,45.59179,-120.69811,0.33,place,232,"PO Box",,,Wasco,OR,"Sherman County",97065,US,"TIGER/Line® dataset from the US Census Bureau","Sherman School District 1",4111250,KG,12,"See unified",,,,"See unified",,,
2297,"Umatilla/Morrow ESD EI/ECSE-Grant","Umatilla/Morrow ESD EI/ECSE-Grant",EI/ECSE,SECC,9/24/1999,6/30/2006,County,Grant,"2001 SW Nye Ave",,Pendleton,OR,97801,4416,"2001 SW Nye Ave",,Pendleton,OR,97801,4416,541-276-6992,,,,45.653733,-118.804698,1,range_interpolation,2001,"SW Nye Ave",,,Pendleton,OR,"Umatilla County",97801,US,"TIGER/Line® dataset from the US Census Bureau","Pendleton School District 16",4109510,KG,12,"See unified",,,,"See unified",,,
2298,"Harney ESD EI/ECSE","Harney ESD EI/ECSE",EI/ECSE,SECC,9/24/1999,,County,Harney,,,,,,,"450 N Buena Vista Ave",,Burns,OR,97720,,541-573-6461,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2299,"Hood River County SD - EI/ECSE","Hood River County SD - EI/ECSE",EI/ECSE,SECC,9/24/1999,,County,"Hood River","1011 Eugene St",,"Hood River",OR,97031,1415,"2405 Eastside Rd",,"Hood River",OR,97031,9406,541-386-4919,,,,45.705712,-121.521827,1,rooftop,1011,"Eugene St",,,"Hood River",OR,"Hood River County",97031,US,"Hood River","Hood River County School District 1",4106510,KG,12,"See unified",,,,"See unified",,,
