name,students,eighty,eighty-target,forty,forty-target,SuspExplFg,SuspExplRaceEthnicityFg,DisPrptnRprsntnFg,DisPrptnRprsntnDsbltyFg,four-year-grad,dropout
Adel SD 21,,,73.0,,10.6,No ,No ,No ,No ,,
Adrian SD 61,42.0,97.62,73.0,2.38,10.6,No ,No ,No ,No ,,0.0
Alsea SD 7J,37.0,70.27,73.0,8.11,10.6,No ,No ,No ,No ,,0.0
Amity SD 4J,127.0,79.53,73.0,3.15,10.6,No ,No ,No ,No ,72.22,3.7
Annex SD 29,7.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,
Arlington SD 3,21.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,0.0
Arock SD 81,,,73.0,,10.6,No ,No ,No ,No ,,
Ashland SD 5,329.0,76.6,73.0,7.6,10.6,No ,No ,No ,No ,77.14,3.23
Ashwood SD 8,,,73.0,,10.6,No ,No ,No ,No ,,
Astoria SD 1,240.0,70.83,73.0,10.42,10.6,No ,No ,No ,No ,50.0,2.27
Athena-Weston SD 29RJ,81.0,90.12,73.0,1.23,10.6,No ,No ,No ,No ,75.0,3.57
Baker SD 5J,448.0,93.97,73.0,1.56,10.6,No ,No ,No ,No ,47.37,2.82
Bandon SD 54,93.0,56.99,73.0,9.68,10.6,No ,No ,No ,No ,66.67,3.03
Banks SD 13,148.0,82.43,73.0,6.76,10.6,No ,No ,No ,No ,92.86,0.0
Beaverton SD 48J,4842.0,79.1,73.0,13.71,10.6,No ,No ,No ,No ,64.27,3.06
Bend-LaPine Administrative SD 1,1821.0,79.46,73.0,8.79,10.6,No ,No ,No ,No ,66.82,4.5
Bethel SD 52,963.0,62.82,73.0,14.12,10.6,No ,No ,No ,No ,46.15,6.58
Blachly SD 90,53.0,86.79,73.0,1.89,10.6,No ,No ,No ,No ,,0.0
Black Butte SD 41,,,73.0,,10.6,No ,No ,No ,No ,,
Brookings-Harbor SD 17C,208.0,67.31,73.0,12.98,10.6,Yes,No ,No ,No ,50.0,8.75
Burnt River SD 30J,9.0,100.0,73.0,0.0,10.6,No ,No ,No ,No ,,
Butte Falls SD 91,53.0,88.68,73.0,1.89,10.6,No ,No ,No ,No ,62.5,5.0
Camas Valley SD 21J,38.0,65.79,73.0,0.0,10.6,No ,No ,No ,No ,,11.76
Canby SD 86,557.0,70.92,73.0,9.34,10.6,Yes,No ,No ,No ,77.55,3.3
Cascade SD 5,344.0,80.52,73.0,13.37,10.6,No ,No ,No ,No ,59.26,3.96
Centennial SD 28J,845.0,70.3,73.0,8.52,10.6,No ,No ,No ,No ,43.9,5.25
Central Curry SD 1,64.0,82.81,73.0,0.0,10.6,No ,No ,No ,No ,,9.52
Central Linn SD 552,99.0,81.82,73.0,8.08,10.6,No ,No ,No ,No ,50.0,2.78
Central Point SD 6,662.0,68.88,73.0,16.47,10.6,Yes,No ,No ,No ,57.78,2.96
Central SD 13J,340.0,64.71,73.0,15.29,10.6,No ,No ,No ,No ,72.97,4.51
Clatskanie SD 6J,130.0,56.92,73.0,16.15,10.6,No ,No ,No ,No ,44.44,10.64
Colton SD 53,85.0,76.47,73.0,7.06,10.6,No ,No ,No ,No ,81.82,8.57
Condon SD 25J,23.0,95.65,73.0,0.0,10.6,No ,No ,No ,No ,,
Coos Bay SD 9,515.0,69.9,73.0,10.1,10.6,No ,No ,No ,No ,61.76,5.71
Coquille SD 8,144.0,77.78,73.0,10.42,10.6,No ,No ,No ,No ,36.84,12.73
Corbett SD 39,155.0,84.52,73.0,1.94,10.6,No ,No ,No ,No ,100.0,2.08
Corvallis SD 509J,675.0,75.11,73.0,9.19,10.6,No ,No ,No ,No ,67.9,3.0
Cove SD 15,44.0,93.18,73.0,2.27,10.6,No ,No ,No ,No ,,7.14
Creswell SD 40,216.0,76.39,73.0,7.41,10.6,No ,No ,No ,No ,83.33,3.53
Crook County SD,395.0,75.95,73.0,7.34,10.6,No ,No ,No ,No ,65.79,9.4
Crow-Applegate-Lorane SD 66,40.0,92.5,73.0,2.5,10.6,No ,No ,No ,No ,,0.0
Culver SD 4,90.0,73.33,73.0,7.78,10.6,No ,No ,No ,No ,,0.0
Dallas SD 2,502.0,61.75,73.0,10.36,10.6,Yes,No ,No ,No ,60.0,4.44
David Douglas SD 40,1160.0,76.72,73.0,7.67,10.6,No ,No ,No ,No ,52.94,4.34
Dayton SD 8,119.0,78.99,73.0,7.56,10.6,No ,No ,No ,No ,100.0,1.85
Dayville SD 16J,6.0,83.33,73.0,0.0,10.6,No ,No ,No ,No ,,
